,state,rep_votes_share,dem_votes_share,maskActual,predR,predRMask,year,margin,error margin,predMargin,errors
198,West Virginia,0.6647342807551093,0.3352657192448907,1,0.66397494,1,2016,0.32946856151021864,0.0007593399782843679,0.32794988,1.0
199,Wyoming,0.6742127938802117,0.3257872061197883,1,0.6762264,1,2016,0.3484255877604234,0.0020135836069709034,0.35245275,1.0
200,Alaska,0.533063087,0.466936913,1,0.5326589,1,2018,0.06612617400000004,0.0004042120114441383,0.06531775,1.0
201,Alabama,0.589774447,0.410225553,1,0.5922736,1,2018,0.17954889400000001,0.0024991459489135393,0.18454719,1.0
202,Arkansas,0.63997253,0.36002747,1,0.6413088,1,2018,0.27994505999999997,0.0013362544848632973,0.28261757,1.0
203,Arizona,0.491386033,0.508613967,0,0.4904924,0,2018,-0.017227933999999945,0.0008936294927673338,-0.019015193,-1.0
204,California,0.33156281,0.66843719,0,0.3311841,0,2018,-0.33687438000000003,0.00037872081619261255,-0.33763182,-1.0
205,Colorado,0.440692687,0.548211349,0,0.44180465,0,2018,-0.10751866199999999,0.0011119604456786836,-0.116390705,-1.0
206,Connecticut,0.385574338,0.608387321,0,0.38313106,0,2018,-0.22281298300000002,0.0024432809759979413,-0.23373792,-1.0
207,Delaware,0.3554603,0.6445397,0,0.3576594,0,2018,-0.28907940000000004,0.002199099509429925,-0.2846812,-1.0
208,Florida,0.526364278,0.473635722,1,0.52347136,1,2018,0.05272855599999998,0.0028929225617675414,0.04694271,1.0
209,Georgia,0.522716655,0.477283345,1,0.52241343,1,2018,0.04543330999999995,0.00030322240188596083,0.044826865,1.0
210,Hawaii,0.232761033,0.767238967,0,0.23260903,0,2018,-0.5344779340000001,0.0001519994154052795,-0.53478193,-1.0
211,Iowa,0.477600276,0.518421919,0,0.4768158,0,2018,-0.04082164300000002,0.0007844860620269678,-0.04636839,-1.0
212,Idaho,0.626886445,0.353146502,1,0.6252506,1,2018,0.27373994300000004,0.0016358670733642722,0.25050116,1.0
213,Illinois,0.387350823,0.608815297,0,0.3893398,0,2018,-0.22146447400000002,0.0019889816493530166,-0.22132039,-1.0
214,Indiana,0.555130106,0.444869894,1,0.55276906,1,2018,0.11026021200000002,0.0023610410967407347,0.10553813,1.0
215,Kansas,0.54807945,0.45192055,1,0.550027,1,2018,0.09615890000000005,0.0019475628250121835,0.100054026,1.0
216,Kentucky,0.598091589,0.391975644,1,0.59885913,1,2018,0.20611594500000002,0.0007675423362121236,0.19771826,1.0
217,Louisiana,0.589088835,0.389934988,1,0.5919886,1,2018,0.199153847,0.0028997881422424543,0.18397725,1.0
218,Massachusetts,0.20394954,0.79605046,0,0.20324725,0,2018,-0.59210092,0.0007022908735656863,-0.5935055,-1.0
219,Maryland,0.330758201,0.669241799,0,0.33228272,0,2018,-0.33848359800000005,0.0015245209963073991,-0.33543456,-1.0
220,Maine,0.400760998,0.551198977,0,0.40148336,0,2018,-0.150437979,0.0007223589526672569,-0.19703329,-1.0
221,Michigan,0.460090973,0.539909027,0,0.45847303,0,2018,-0.07981805399999997,0.0016179462475280904,-0.08305395,-1.0
222,Minnesota,0.442026515,0.557973485,0,0.44300666,0,2018,-0.11594696999999998,0.0009801495145416173,-0.1139867,-1.0
223,Missouri,0.564224924,0.435775076,1,0.56141186,1,2018,0.12844984800000003,0.002813066395019548,0.122823715,1.0
224,Mississippi,0.513228239,0.434372944,1,0.5134527,1,2018,0.07885529500000005,0.00022446972116085817,0.026905417,1.0
225,Montana,0.523856759,0.476143241,1,0.52626,1,2018,0.047713517999999955,0.002403259348693898,0.052520037,1.0
226,North Carolina,0.510364651,0.489635349,1,0.5083429,1,2018,0.02072930199999995,0.002021729266143746,0.016685843,1.0
227,North Dakota,0.60201784,0.355725091,1,0.60284954,1,2018,0.24629274900000003,0.0008317030946349835,0.20569909,1.0
228,Nebraska,0.620292289,0.379707711,1,0.62072885,1,2018,0.240584578,0.0004365613646850619,0.2414577,1.0
229,New Hampshire,0.444436908,0.555563092,0,0.443135,0,2018,-0.11112618399999996,0.0013019146852569774,-0.11372998,-1.0
230,New Jersey,0.392299352,0.607700648,0,0.3930931,0,2018,-0.21540129600000002,0.0007937571308593849,-0.21381378,-1.0
231,New Mexico,0.395828193,0.604171807,0,0.39662784,0,2018,-0.20834361399999995,0.0007996503799743704,-0.20674431,-1.0
232,Nevada,0.466391042,0.521061614,0,0.46495968,0,2018,-0.05467057199999997,0.0014313609659118431,-0.07008064,-1.0
233,New York,0.303460082,0.696015209,0,0.30389747,0,2018,-0.392555127,0.0004373882358245651,-0.39220503,-1.0
234,Ohio,0.523850959,0.476149041,1,0.52608794,1,2018,0.04770191800000001,0.00223698073922729,0.05217588,1.0
235,Oklahoma,0.621889408,0.364734365,1,0.6204128,1,2018,0.257155043,0.001476581461914095,0.24082565,1.0
